R,G,B,PurpleOrNot,Gender,AndrewID
,0,255,No,Male,pgmenon
183,1,235,Yes,Male,pgmenon
165,1,235,Yes,Male,pgmenon
153,2,255,Yes,Female,amanna
137,3,181,Yes,Male,etashj
137,0,255,Yes,Male,ldimitro
175,3,255,Yes,Female,amanna
234,7,3,No,Male,jake
153,7,153,No,Male,ldimitro
203,10,27,No,Male,jake
129,11,,Yes,Male,jeffersl
76,0,153,Yes,Female,amanna
153,0,153,Yes,Female,amanna
102,0,102,Yes,Female,amanna
0,12,0,No,Female,amanna
0,13,0,No,Female,amanna
222,13,219,No,Male,jake
173,13,225,Yes,Male,ssliu
93,13,157,No,Male,ssliu
42,14,199,No,Female,amanna
99,14,206,Yes,Male,jake
122,14,76,Yes,Male,jake
209,15,12,Yes,Male,jake
102,0,51,Yes,Female,amanna
186,15,209,No,Male,jake
88,17,1,Yes,Male,jake
229,18,255,Yes,Female,amanna
51,0,102,Yes,Female,amanna
127,0,255,Yes,Female,amanna
0,18,153,No,Female,amanna
202,20,202,Yes,Male,jake
75,20,211,No,Male,jake
162,0,255,Yes,Male,aztao
110,20,164,Yes,Male,aztao
74,21,117,Yes,Male,aztao
135,0,202,Yes,Male,aztao
157,21,193,Yes,Male,aztao
169,21,202,Yes,Male,aztao
207,22,255,Yes,Male,aztao
96,22,149,Yes,Male,aztao
171,22,16,Yes,Male,aztao
129,23,155,Yes,Male,aztao
168,24,182,Yes,Male,etashj
122,24,155,Yes,Male,etashj
87,25,101,Yes,Male,etashj
151,26,181,Yes,Male,etashj
183,26,201,Yes,Male,etashj
221,26,243,Yes,Male,etashj
113,26,8,Yes,Male,etashj
120,26,127,Yes,Male,etashj
77,26,82,Yes,Male,etashj
57,27,35,No,Male,aztao
228,27,121,No,Male,aztao
5,28,64,No,Male,aztao
30,29,189,No,Male,aztao
222,29,88,No,Male,aztao
88,30,222,No,Male,aztao
205,30,165,No,Male,aztao
162,30,51,No,Male,aztao
0,0,0,No,Male,aztao
90,30,14,No,Male,aztao
