YearMonth,Deliveries,Intake,US
2021-06,97,68,117
2021-07,265,147,256
2021-08,266,187,243
2021-09,248,178,239
2021-10,240,189,228
2021-11,243,187,239
2021-12,275,205,228
2022-01,235,198,260
2022-02,233,182,229
2022-03,262,192,271
2022-04,218,160,235
2022-05,240,168,225
2022-06,239,176,217
2022-07,270,182,250
2022-08,269,170,247
2022-09,239,166,242
2022-10,226,156,220
2022-11,240,166,221
2022-12,260,162,211
2023-01,244,232,219
2023-02,204,212,228
2023-03,246,235,234
2023-04,201,173,233
2023-05,215,254,260
2023-06,239,213,265
2023-07,226,152,241
2023-08,245,183,259
2023-09,260,160,189
2023-10,248,200,251
2023-11,255,136,240
2023-12,236,159,205
2024-01,220,181,228
2024-02,209,164,232
2024-03,270,172,212
2024-04,210,209,258
2024-05,223,205,221
2024-06,139,122,121
